Split,Model,Precision@1,Recall@1,F1@1,Precision@3,Recall@3,F1@3,Precision@10,Recall@10,F1@10
Random,KNN-cosine-user,0.0017035775127768314,0.0003407155025553663,0.33333333333333337,0.0005678591709256105,0.0003407155025553663,0.25,0.00017035775127768315,0.0003407155025553663,0.13333333333333333
Random,KNN-cosine-user,0.0017035775127768314,0.0003407155025553663,0.33333333333333337,0.0005678591709256105,0.0003407155025553663,0.25,0.00017035775127768315,0.0003407155025553663,0.13333333333333333
Random,KNN-cosine-user,0.0017035775127768314,0.0003407155025553663,0.33333333333333337,0.0005678591709256105,0.0003407155025553663,0.25,0.00017035775127768315,0.0003407155025553663,0.13333333333333333
Random,KNN-cosine-user,0.0017035775127768314,0.0003407155025553663,0.33333333333333337,0.0005678591709256105,0.0003407155025553663,0.25,0.00017035775127768315,0.0003407155025553663,0.13333333333333333
Random,KNN-cosine-item,0.0,0.0,0.0,0.0,0.0,0.0,0.00017035775127768315,1.3738528328845414e-05,0.014925373134328358
Random,KNN-cosine-item,0.0,0.0,0.0,0.0,0.0,0.0,0.00017035775127768315,1.3738528328845414e-05,0.014925373134328358
Random,KNN-cosine-item,0.0,0.0,0.0,0.0,0.0,0.0,0.00017035775127768315,1.3738528328845414e-05,0.014925373134328358
Random,KNN-cosine-item,0.0,0.0,0.0,0.0,0.0,0.0,0.00017035775127768315,1.3738528328845414e-05,0.014925373134328358
Random,KNN-pearson-user,0.0034071550255536627,0.0006246450880181716,0.30952380952380953,0.001135718341851221,0.0006246450880181716,0.2361111111111111,0.0005110732538330494,0.0009085746734809767,0.19166666666666665
Random,KNN-pearson-user,0.0034071550255536627,0.0006246450880181716,0.30952380952380953,0.001135718341851221,0.0006246450880181716,0.2361111111111111,0.0005110732538330494,0.0009085746734809767,0.19166666666666665
Random,KNN-pearson-user,0.0034071550255536627,0.0006246450880181716,0.30952380952380953,0.001135718341851221,0.0006246450880181716,0.2361111111111111,0.0005110732538330494,0.0009085746734809767,0.19166666666666665
Random,KNN-pearson-user,0.0034071550255536627,0.0006246450880181716,0.30952380952380953,0.001135718341851221,0.0006246450880181716,0.2361111111111111,0.0005110732538330494,0.0009085746734809767,0.19166666666666665
Random,KNN-msd-user,0.0017035775127768314,0.0003407155025553663,0.33333333333333337,0.0005678591709256105,0.0003407155025553663,0.25,0.00017035775127768315,0.0003407155025553663,0.13333333333333333
Random,KNN-msd-user,0.0017035775127768314,0.0003407155025553663,0.33333333333333337,0.0005678591709256105,0.0003407155025553663,0.25,0.00017035775127768315,0.0003407155025553663,0.13333333333333333
Random,KNN-msd-user,0.0017035775127768314,0.0003407155025553663,0.33333333333333337,0.0005678591709256105,0.0003407155025553663,0.25,0.00017035775127768315,0.0003407155025553663,0.13333333333333333
Random,KNN-msd-user,0.0017035775127768314,0.0003407155025553663,0.33333333333333337,0.0005678591709256105,0.0003407155025553663,0.25,0.00017035775127768315,0.0003407155025553663,0.13333333333333333
Random,SVD-f50-lr0.005,0.09540034071550256,0.007704684215888596,0.12941838106245052,0.07552526973310626,0.015257921306723118,0.11358402096224098,0.050766609880749665,0.03169643707088503,0.09633632101965198
Random,SVD-f100-lr0.007,0.05792163543441227,0.00326446567066085,0.09968199588423268,0.05565019875070977,0.009604441704689359,0.10845399756691813,0.039352640545144854,0.023385939113659673,0.0933710583160392
Random,SVD-f30-lr0.01,0.08858603066439523,0.004811451921228939,0.09667424035539737,0.07552526973310623,0.015220469835150824,0.11331477175004438,0.05775127768313471,0.03704473702509567,0.09761877878063563
TimeBased,KNN-cosine-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-cosine-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-cosine-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-cosine-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-cosine-item,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.042982456140350865,0.003810147331525267,0.02089488354444334
TimeBased,KNN-cosine-item,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.042982456140350865,0.003810147331525267,0.02089488354444334
TimeBased,KNN-cosine-item,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.042982456140350865,0.003810147331525267,0.02089488354444334
TimeBased,KNN-cosine-item,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.042982456140350865,0.003810147331525267,0.02089488354444334
TimeBased,KNN-pearson-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-pearson-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-pearson-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-pearson-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
