data_name,model_name,params,silhouette,error
BERT,agglomerative_clustering,"{'k': 10, 'linkage': 'single', 'metric': 'cosine'}",0.0653260946273803,
BERT,spectral_clustering,"{'k': 4, 'affinity': 'rbf'}",0.0469712652266025,
BERT,spectral_clustering,"{'k': 4, 'affinity': 'nearest_neighbors'}",0.0467108860611915,
BERT,spectral_clustering,"{'k': 6, 'affinity': 'rbf'}",0.0488906130194664,
BERT,spectral_clustering,"{'k': 6, 'affinity': 'nearest_neighbors'}",0.0350724905729293,
BERT,spectral_clustering,"{'k': 8, 'affinity': 'rbf'}",0.0449404828250408,
BERT,spectral_clustering,"{'k': 8, 'affinity': 'nearest_neighbors'}",0.0355574786663055,
BERT,spectral_clustering,"{'k': 10, 'affinity': 'rbf'}",0.0415281280875206,
BERT,spectral_clustering,"{'k': 10, 'affinity': 'nearest_neighbors'}",0.0246874932199716,
BERT,dbscan_clustering,"{'eps_value': 0.3, 'min_samples': 3, 'metric': 'euclidean'}",-0.1132633164525032,
BERT,dbscan_clustering,"{'eps_value': 0.3, 'min_samples': 3, 'metric': 'manhattan'}",-0.1042714715003967,
BERT,dbscan_clustering,"{'eps_value': 0.3, 'min_samples': 8, 'metric': 'euclidean'}",,cannot unpack non-iterable NoneType object
BERT,dbscan_clustering,"{'eps_value': 0.3, 'min_samples': 8, 'metric': 'manhattan'}",,cannot unpack non-iterable NoneType object
BERT,dbscan_clustering,"{'eps_value': 0.5, 'min_samples': 3, 'metric': 'euclidean'}",-0.1369151920080185,
BERT,dbscan_clustering,"{'eps_value': 0.5, 'min_samples': 3, 'metric': 'manhattan'}",-0.1042714715003967,
BERT,dbscan_clustering,"{'eps_value': 0.5, 'min_samples': 8, 'metric': 'euclidean'}",,cannot unpack non-iterable NoneType object
BERT,dbscan_clustering,"{'eps_value': 0.5, 'min_samples': 8, 'metric': 'manhattan'}",,cannot unpack non-iterable NoneType object
BERT,dbscan_clustering,"{'eps_value': 0.7, 'min_samples': 3, 'metric': 'euclidean'}",-0.1646953821182251,
BERT,dbscan_clustering,"{'eps_value': 0.7, 'min_samples': 3, 'metric': 'manhattan'}",-0.1042714715003967,
BERT,dbscan_clustering,"{'eps_value': 0.7, 'min_samples': 8, 'metric': 'euclidean'}",-0.1301688551902771,
BERT,dbscan_clustering,"{'eps_value': 0.7, 'min_samples': 8, 'metric': 'manhattan'}",,cannot unpack non-iterable NoneType object
catBoW,kmeans_clustering,"{'k': 4}",0.1648,
BoW,kmeans_clustering,"{'k': 6}",0.1605,
BoW,kmeans_clustering,"{'k': 8}",0.1576,
BoW,kmeans_clustering,"{'k': 10}",0.1599,
BoW,gmm_clustering,"{'k': 4}",0.2453,
BoW,gmm_clustering,"{'k': 6}",0.1129,
BoW,gmm_clustering,"{'k': 8}",0.0964,
BoW,gmm_clustering,"{'k': 10}",0.1042,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'complete', 'metric': 'euclidean'}",0.7684,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'complete', 'metric': 'manhattan'}",0.7553,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'complete', 'metric': 'cosine'}",-0.1597,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'average', 'metric': 'euclidean'}",0.7684,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'average', 'metric': 'manhattan'}",0.6926,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'average', 'metric': 'cosine'}",-0.1657,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'single', 'metric': 'euclidean'}",0.7649,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'single', 'metric': 'manhattan'}",0.6926,
BoW,agglomerative_clustering,"{'k': 4, 'linkage': 'single', 'metric': 'cosine'}",-0.2351,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'complete', 'metric': 'euclidean'}",0.1249,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'complete', 'metric': 'manhattan'}",0.6928,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'complete', 'metric': 'cosine'}",-0.1808,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'average', 'metric': 'euclidean'}",0.7553,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'average', 'metric': 'manhattan'}",0.6928,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'average', 'metric': 'cosine'}",-0.1955,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'single', 'metric': 'euclidean'}",0.7382,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'single', 'metric': 'manhattan'}",0.6928,
BoW,agglomerative_clustering,"{'k': 6, 'linkage': 'single', 'metric': 'cosine'}",-0.2356,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'complete', 'metric': 'euclidean'}",0.1117,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'complete', 'metric': 'manhattan'}",0.6929,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'complete', 'metric': 'cosine'}",-0.1799,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'average', 'metric': 'euclidean'}",0.7372,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'average', 'metric': 'manhattan'}",0.6929,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'average', 'metric': 'cosine'}",-0.2206,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'single', 'metric': 'euclidean'}",0.7203,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'single', 'metric': 'manhattan'}",0.6929,
BoW,agglomerative_clustering,"{'k': 8, 'linkage': 'single', 'metric': 'cosine'}",-0.2356,
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'complete', 'metric': 'euclidean'}",0.1125,
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'complete', 'metric': 'manhattan'}",0.6407,
